name	tissue	gender	race	project	num_samples	median_PC	median_LNC	median_EB
Brain_Amygdala-male-black_or_african_american_gtex	Brain_Amygdala	male	black_or_african_american	gtex	8	3.7785135	2.03706525	1.6147632500000002
Spleen-male-white_gtex	Spleen	male	white	gtex	125	4.51958	2.221521	1.7517695
Cells_Culturedfibroblasts-female-unknown_gtex	Cells_Culturedfibroblasts	female	unknown	gtex	1	5.2477540000000005	1.941179	1.628531
Thyroid-male-black_or_african_american_gtex	Thyroid	male	black_or_african_american	gtex	48	4.478113500000001	2.1716724999999997	1.7704275
Brain_Amygdala-female-white_gtex	Brain_Amygdala	female	white	gtex	41	3.284966	1.944977	1.579968
Esophagus_Muscularis-female-white_gtex	Esophagus_Muscularis	female	white	gtex	150	4.3904755	1.994043	1.6537495
Pancreas-male-white_tcga	Pancreas	male	white	tcga	89	4.6657575	1.8803044999999998	1.518037
Skin_NotSunExposed_Suprapubic_-male-unknown_gtex	Skin_NotSunExposed_Suprapubic_	male	unknown	gtex	7	4.1490055	1.9793705	1.6480990000000002
Uterus-female-not_reported_tcga	Uterus	female	not_reported	tcga	21	4.675971	1.9902410000000001	1.6405279999999998
Adipose_Visceral_Omentum_-female-black_or_african_american_gtex	Adipose_Visceral_Omentum_	female	black_or_african_american	gtex	24	4.243064	1.85581525	1.6270235
Pancreas-female-black_or_african_american_gtex	Pancreas	female	black_or_african_american	gtex	17	3.0150215	1.7931925	1.5830825
Breast_MammaryTissue-male-unknown_gtex	Breast_MammaryTissue	male	unknown	gtex	4	4.413625	1.917758	1.626621
Brain_Cerebellum-female-asian_gtex	Brain_Cerebellum	female	asian	gtex	1	4.445166499999999	2.18065	1.7033599999999998
Breast-male-not_reported_tcga	Breast	male	not_reported	tcga	1	5.331407	1.989975	1.6846035
Ovary-female-black_or_african_american_gtex	Ovary	female	black_or_african_american	gtex	27	4.5146385	2.13007	1.749348
Liver-female-asian_tcga	Liver	female	asian	tcga	34	4.2492485	2.035313	1.6965845000000002
Esophagus_Muscularis-female-asian_gtex	Esophagus_Muscularis	female	asian	gtex	2	4.5178245	2.1120227500000004	1.7009050000000001
Esophagus-male-black_or_african_american_tcga	Esophagus	male	black_or_african_american	tcga	6	4.6084274999999995	1.8255115	1.4620739999999999
Pancreas-male-asian_tcga	Pancreas	male	asian	tcga	5	4.6975195	1.959936	1.5428035
Brain_Anteriorcingulatecortex_BA24_-male-black_or_african_american_gtex	Brain_Anteriorcingulatecortex_BA24_	male	black_or_african_american	gtex	11	3.748582	2.0359245	1.562283
Brain_Cortex-male-white_gtex	Brain_Cortex	male	white	gtex	164	3.7424862500000002	1.9564135	1.6038975
Prostate-male-american_indian_or_alaska_native_gtex	Prostate	male	american_indian_or_alaska_native	gtex	1	4.458605	2.0569405	1.6571995
